,Close,Train_Return,Date
2019-10-01,2973.303,-0.18547177,2019-10-01
2019-10-02,2961.455,-0.39847493,2019-10-02
2019-10-03,2972.4731,0.3720522,2019-10-03
2019-10-04,2944.8806,-0.9282708,2019-10-04
2019-10-07,2905.9534,-1.3218641,2019-10-07
2019-10-08,2923.5486,0.6054878,2019-10-08
2019-10-09,2953.9587,1.0401845,2019-10-09
2019-10-10,2943.839,-0.3425777,2019-10-10
2019-10-11,2910.154,-1.1442542,2019-10-11
2019-10-14,2929.8828,0.6779313,2019-10-14
2019-10-15,2943.9236,0.47922134,2019-10-15
2019-10-16,2967.8064,0.811255,2019-10-16
2019-10-17,2964.833,-0.10018945,2019-10-17
2019-10-18,2987.1716,0.7534504,2019-10-18
2019-10-21,2982.5903,-0.15336871,2019-10-21
2019-10-22,2988.927,0.2124548,2019-10-22
2019-10-23,2979.9763,-0.2994597,2019-10-23
2019-10-24,2995.724,0.5284548,2019-10-24
2019-10-25,2987.4731,-0.2754271,2019-10-25
2019-10-28,2994.0977,0.2217412,2019-10-28
2019-10-29,2998.6658,0.15257597,2019-10-29
2019-10-30,3008.324,0.32207966,2019-10-30
2019-10-31,3021.9004,0.4512906,2019-10-31
2019-11-01,3019.7993,-0.06952882,2019-11-01
2019-11-04,3028.0781,0.2741456,2019-11-04
2019-11-05,3020.6577,-0.24505258,2019-11-05
2019-11-06,3045.0603,0.8078575,2019-11-06
2019-11-07,3054.9023,0.32321215,2019-11-07
2019-11-08,3051.8887,-0.09865165,2019-11-08
2019-11-11,3053.9348,0.067043304,2019-11-11
2019-11-12,3061.2053,0.23807287,2019-11-12
2019-11-13,3068.449,0.23663044,2019-11-13
2019-11-14,3063.026,-0.1767397,2019-11-14
2019-11-15,3067.4592,0.144732,2019-11-15
2019-11-18,3070.299,0.092577934,2019-11-18
2019-11-19,3072.734,0.07929802,2019-11-19
2019-11-20,3095.6956,0.74727535,2019-11-20
2019-11-21,3096.5317,0.027012825,2019-11-21
2019-11-22,3094.4644,-0.06676316,2019-11-22
2019-11-25,3083.4678,-0.3553629,2019-11-25
2019-11-26,3079.8618,-0.11694431,2019-11-26
2019-11-27,3086.7883,0.22490025,2019-11-27
2019-11-29,3112.0237,0.8175254,2019-11-29
2019-12-02,3118.082,0.19468069,2019-12-02
2019-12-03,3129.411,0.36332607,2019-12-03
2019-12-04,3114.5703,-0.47422647,2019-12-04
2019-12-05,3088.8623,-0.8254111,2019-12-05
2019-12-06,3069.377,-0.63082576,2019-12-06
2019-12-09,3089.6582,0.6607652,2019-12-09
2019-12-10,3093.5981,0.12751818,2019-12-10
2019-12-11,3123.144,0.95506907,2019-12-11
2019-12-12,3113.3914,-0.31226873,2019-12-12
2019-12-13,3112.35,-0.033444166,2019-12-13
2019-12-16,3122.346,0.32116175,2019-12-16
2019-12-17,3157.1882,1.1159062,2019-12-17
2019-12-18,3157.3318,0.004541874,2019-12-18
2019-12-19,3182.5212,0.7978082,2019-12-19
2019-12-20,3186.8103,0.1347661,2019-12-20
2019-12-23,3188.7231,0.060021877,2019-12-23
2019-12-24,3203.677,0.46895742,2019-12-24
2019-12-26,3217.9602,0.44584274,2019-12-26
2019-12-27,3224.3245,0.19776821,2019-12-27
2019-12-30,3223.412,-0.028294325,2019-12-30
2019-12-31,3232.2834,0.2752185,2019-12-31
2020-01-02,3234.9531,0.08260012,2020-01-02
2020-01-03,3226.441,-0.26313066,2020-01-03
2020-01-06,3227.789,0.041782856,2020-01-06
2020-01-07,3251.0278,0.7199645,2020-01-07
2020-01-08,3231.7969,-0.5915344,2020-01-08
2020-01-09,3244.311,0.3872156,2020-01-09
