,Close,Train_Return,Date
2019-07-29,7478.189,0.54352283,2019-07-29
2019-07-30,7574.0127,1.2813807,2019-07-30
2019-07-31,7572.9595,-0.013905764,2019-07-31
2019-08-01,7525.3984,-0.62803626,2019-08-01
2019-08-02,7515.6606,-0.12940168,2019-08-02
2019-08-05,7385.0713,-1.7375648,2019-08-05
2019-08-06,7212.361,-2.338642,2019-08-06
2019-08-07,7155.23,-0.7921219,2019-08-07
2019-08-08,7175.655,0.28545856,2019-08-08
2019-08-09,7252.543,1.0715127,2019-08-09
2019-08-12,7233.3833,-0.2641797,2019-08-12
2019-08-13,7206.214,-0.3756106,2019-08-13
2019-08-14,7225.0166,0.2609253,2019-08-14
2019-08-15,7134.934,-1.2468159,2019-08-15
2019-08-16,7050.9834,-1.1766136,2019-08-16
2019-08-19,7094.467,0.6167054,2019-08-19
2019-08-20,7165.159,0.9964466,2019-08-20
2019-08-21,7110.0024,-0.769788,2019-08-21
2019-08-22,7177.0054,0.9423733,2019-08-22
2019-08-23,7113.989,-0.878036,2019-08-23
2019-08-27,7077.022,-0.5196333,2019-08-27
2019-08-28,7069.6353,-0.10437369,2019-08-28
2019-08-29,7093.536,0.33807755,2019-08-29
2019-08-30,7159.68,0.93245506,2019-08-30
2019-09-02,7185.232,0.35688877,2019-09-02
2019-09-03,7249.8643,0.89951754,2019-09-03
2019-09-04,7245.0444,-0.06648302,2019-09-04
2019-09-05,7278.4976,0.46173334,2019-09-05
2019-09-06,7249.5186,-0.3981471,2019-09-06
2019-09-09,7254.8467,0.07349253,2019-09-09
2019-09-10,7216.5474,-0.5279124,2019-09-10
2019-09-11,7240.0347,0.3254652,2019-09-11
2019-09-12,7300.1978,0.8309722,2019-09-12
2019-09-13,7312.359,0.16658306,2019-09-13
2019-09-16,7330.186,0.24379492,2019-09-16
2019-09-17,7295.808,-0.4689932,2019-09-17
2019-09-18,7290.3096,-0.07536411,2019-09-18
2019-09-19,7285.4414,-0.06677508,2019-09-19
2019-09-20,7318.486,0.4535675,2019-09-20
2019-09-23,7313.9155,-0.062447786,2019-09-23
2019-09-24,7297.27,-0.22758842,2019-09-24
2019-09-25,7267.11,-0.41330457,2019-09-25
2019-09-26,7262.934,-0.057458878,2019-09-26
2019-09-27,7312.1177,0.6771922,2019-09-27
2019-09-30,7375.5933,0.86808205,2019-09-30
2019-10-01,7370.4897,-0.06919503,2019-10-01
2019-10-02,7330.5137,-0.5423784,2019-10-02
2019-10-03,7115.937,-2.9271722,2019-10-03
2019-10-04,7062.131,-0.75613856,2019-10-04
